0	0	0.214942
0.0001	2.14934e-005	0.214926
0.00055	0.000118194	0.214855
0.002575	0.000552951	0.214535
0.0116875	0.00250134	0.213097
0.0526938	0.0111079	0.206686
0.0895994	0.0186305	0.200999
0.0971423	0.0201423	0.199846
0.0985062	0.0204148	0.199638
0.099224	0.020558	0.199528
0.102454	0.0212025	0.19965
0.105684	0.0218477	0.199833
0.120218	0.0247581	0.200655
0.185622	0.0380013	0.204293
0.479941	0.100348	0.218729
0.867692	0.187509	0.228445
1.19719	0.262172	0.221972
1.52669	0.3318	0.197647
1.85619	0.390736	0.158285
2.1514	0.431607	0.118746
2.21044	0.438393	0.111162
2.31017	0.448862	0.0989183
2.37485	0.455016	0.0914273
2.38898	0.456297	0.0898425
2.45257	0.461768	0.0822747
2.51616	0.466774	0.0752804
2.71079	0.479602	0.0573039
2.90542	0.489357	0.0435667
3.1989	0.499836	0.0288679
3.50506	0.507033	0.0188807
3.83612	0.512067	0.0120854
4.19561	0.515554	0.00772866
4.58964	0.518051	0.00527199
5	0.52	0.00449388
